State_UT,State_UT_Code,Fiscal Year,Estimate,Per Capita Expenditure on Health Sector ,Total Health Sector Expenditure,Total Health Sector Expenditure as % of State Budget,Revenue Expenditure as % of Total Health Sector Expenditure,Capital Expenditure (including Loans & Advances ) as % of Total Health Sector Expenditure,,,,,,,,,,,,
Manipur,15,2022-23,Budget Estimates,4437,1417,4.1,90.2,9.8,,,,,,,,,,,,
Meghalaya,16,2016-17,Actuals,2196,687,6.8,88.0,12.0,,,,,,,,,,,,
Meghalaya,16,2017-18,Budget Estimates,2276,720,5.5,94.3,5.7,,,,,,,,,,,,
Meghalaya,16,2017-18,Revised Estimates,2276,720,5.5,94.3,5.7,,,,,,,,,,,,
Meghalaya,16,2017-18,Actuals,2222,702,7.1,95.1,4.9,,,,,,,,,,,,
Meghalaya,16,2018-19,Budget Estimates,3045,972,6.8,95.7,4.3,,,,,,,,,,,,
Meghalaya,16,2018-19,Revised Estimates,3045,972,6.8,95.7,4.3,,,,,,,,,,,,
Meghalaya,16,2018-19,Actuals,3337,1065,8.8,96.0,4.0,,,,,,,,,,,,
Meghalaya,16,2019-20,Budget Estimates,3543,1142,7.0,95.1,4.9,,,,,,,,,,,,
Meghalaya,16,2019-20,Revised Estimates,3543,1142,7.0,95.1,4.9,,,,,,,,,,,,
Meghalaya,16,2019-20,Actuals,2686,866,7.9,94.3,5.7,,,,,,,,,,,,
Meghalaya,16,2020-21,Budget Estimates,3760,1224,7.0,90.4,9.6,,,,,,,,,,,,
Meghalaya,16,2020-21,Revised Estimates,3760,1224,7.0,90.4,9.6,,,,,,,,,,,,
Meghalaya,16,2020-21,Actuals,3691,1202,8.7,96.2,3.8,,,,,,,,,,,,
Meghalaya,16,2021-22,Budget Estimates,3856,1268,7.2,93.4,6.6,,,,,,,,,,,,
Meghalaya,16,2021-22,Revised Estimates,3856,1268,7.2,93.4,6.6,,,,,,,,,,,,
Meghalaya,16,2022-23,Budget Estimates,4876,1618,8.6,96.3,3.7,,,,,,,,,,,,
Mizoram,17,2016-17,Actuals,3440,399,5.6,92.9,7.1,,,,,,,,,,,,
Mizoram,17,2017-18,Budget Estimates,3944,462,5.4,92.0,8.0,,,,,,,,,,,,
Mizoram,17,2017-18,Revised Estimates,6019,705,7.1,84.2,15.8,,,,,,,,,,,,
Mizoram,17,2017-18,Actuals,4726,554,6.2,84.7,15.3,,,,,,,,,,,,
Mizoram,17,2018-19,Budget Estimates,3843,455,4.8,92.7,7.3,,,,,,,,,,,,
Mizoram,17,2018-19,Revised Estimates,5611,664,6.3,78.9,21.1,,,,,,,,,,,,
Mizoram,17,2018-19,Actuals,4936,584,6.2,84.0,16.0,,,,,,,,,,,,
Mizoram,17,2019-20,Budget Estimates,4740,566,5.3,99.1,0.9,,,,,,,,,,,,
Mizoram,17,2019-20,Revised Estimates,5863,701,5.7,89.8,10.2,,,,,,,,,,,,
Mizoram,17,2019-20,Actuals,4931,589,5.4,93.7,6.3,,,,,,,,,,,,
Mizoram,17,2020-21,Budget Estimates,5189,626,6.0,100.0,0.0,,,,,,,,,,,,
Mizoram,17,2020-21,Revised Estimates,6467,781,6.6,92.6,7.4,,,,,,,,,,,,
Mizoram,17,2020-21,Actuals,4760,575,6.0,95.7,4.3,,,,,,,,,,,,
Mizoram,17,2021-22,Budget Estimates,5117,624,5.8,95.5,4.5,,,,,,,,,,,,
Mizoram,17,2021-22,Revised Estimates,7063,861,7.0,86.4,13.6,,,,,,,,,,,,
Mizoram,17,2022-23,Budget Estimates,5873,721,5.6,84.0,16.0,,,,,,,,,,,,
Nagaland,18,2016-17,Actuals,2372,496,3.4,97.3,2.7,,,,,,,,,,,,
Nagaland,18,2017-18,Budget Estimates,2920,617,3.8,90.4,9.6,,,,,,,,,,,,
Nagaland,18,2017-18,Revised Estimates,3236,684,4.0,86.0,14.0,,,,,,,,,,,,
Nagaland,18,2017-18,Actuals,2906,614,3.9,87.6,12.4,,,,,,,,,,,,
Nagaland,18,2018-19,Budget Estimates,3438,734,4.0,88.4,11.6,,,,,,,,,,,,
Nagaland,18,2018-19,Revised Estimates,3737,797,4.9,87.1,12.9,,,,,,,,,,,,
Nagaland,18,2018-19,Actuals,2959,631,4.2,97.7,2.3,,,,,,,,,,,,
Nagaland,18,2019-20,Budget Estimates,3785,816,4.5,88.9,11.1,,,,,,,,,,,,
Nagaland,18,2019-20,Revised Estimates,3691,795,3.7,91.6,8.4,,,,,,,,,,,,
Nagaland,18,2019-20,Actuals,3106,669,3.4,98.7,1.3,,,,,,,,,,,,
Nagaland,18,2020-21,Budget Estimates,3972,865,4.1,85.8,14.2,,,,,,,,,,,,
Nagaland,18,2020-21,Revised Estimates,3795,826,3.4,87.2,12.8,,,,,,,,,,,,
Nagaland,18,2020-21,Actuals,3322,723,3.2,94.6,5.4,,,,,,,,,,,,
Nagaland,18,2021-22,Budget Estimates,4744,1043,4.6,76.3,23.7,,,,,,,,,,,,
Nagaland,18,2021-22,Revised Estimates,5380,1183,5.1,65.6,34.4,,,,,,,,,,,,
Nagaland,18,2022-23,Budget Estimates,5104,1130,4.7,79.2,20.8,,,,,,,,,,,,
Odisha,19,2016-17,Actuals,1101,4854,5.6,83.9,16.1,,,,,,,,,,,,
Odisha,19,2017-18,Budget Estimates,1296,5759,5.4,79.9,20.1,,,,,,,,,,,,
Odisha,19,2017-18,Revised Estimates,1203,5345,5.0,83.4,16.6,,,,,,,,,,,,
Odisha,19,2017-18,Actuals,1125,4998,5.1,83.3,16.7,,,,,,,,,,,,
Odisha,19,2018-19,Budget Estimates,1393,6236,5.2,84.1,15.9,,,,,,,,,,,,
Odisha,19,2018-19,Revised Estimates,1388,6215,5.2,89.6,10.4,,,,,,,,,,,,
Odisha,19,2018-19,Actuals,1289,5771,5.1,88.3,11.7,,,,,,,,,,,,
Odisha,19,2019-20,Budget Estimates,1529,6897,5.0,85.9,14.1,,,,,,,,,,,,
Odisha,19,2019-20,Revised Estimates,1501,6773,5.0,89.9,10.1,,,,,,,,,,,,
Odisha,19,2019-20,Actuals,1382,6236,5.0,91.3,8.7,,,,,,,,,,,,
Odisha,19,2020-21,Budget Estimates,1720,7819,5.2,87.6,12.4,,,,,,,,,,,,
Odisha,19,2020-21,Revised Estimates,1951,8872,6.6,88.4,11.6,,,,,,,,,,,,
Odisha,19,2020-21,Actuals,1744,7931,6.4,91.5,8.5,,,,,,,,,,,,
Odisha,19,2021-22,Budget Estimates,2065,9457,5.6,81.8,18.2,,,,,,,,,,,,
Odisha,19,2021-22,Revised Estimates,2511,11501,7.0,83.5,16.5,,,,,,,,,,,,
Odisha,19,2022-23,Budget Estimates,2750,12621,6.3,80.2,19.8,,,,,,,,,,,,
Punjab,20,2016-17,Actuals,1006,2941,2.2,99.2,0.8,,,,,,,,,,,,
Punjab,20,2017-18,Budget Estimates,1211,3568,3.0,96.4,3.6,,,,,,,,,,,,
Punjab,20,2017-18,Revised Estimates,1184,3488,3.1,99.4,0.6,,,,,,,,,,,,
Punjab,20,2017-18,Actuals,961,2830,2.8,100.0,0.0,,,,,,,,,,,,
Punjab,20,2018-19,Budget Estimates,1173,3484,2.7,89.7,10.3,,,,,,,,,,,,
Punjab,20,2018-19,Revised Estimates,1055,3132,2.5,93.3,6.7,,,,,,,,,,,,
Punjab,20,2018-19,Actuals,974,2893,2.5,96.5,3.5,,,,,,,,,,,,
Punjab,20,2019-20,Budget Estimates,1272,3808,2.4,90.6,9.4,,,,,,,,,,,,
Punjab,20,2019-20,Revised Estimates,1158,3466,2.3,94.3,5.7,,,,,,,,,,,,
Punjab,20,2019-20,Actuals,1077,3225,2.4,96.0,4.0,,,,,,,,,,,,
Punjab,20,2020-21,Budget Estimates,1416,4263,2.8,87.6,12.4,,,,,,,,,,,,
Punjab,20,2020-21,Revised Estimates,1264,3804,2.7,96.2,3.8,,,,,,,,,,,,
Punjab,20,2020-21,Actuals,1201,3613,2.9,97.4,2.6,,,,,,,,,,,,
Punjab,20,2021-22,Budget Estimates,1423,4318,2.6,85.8,14.2,,,,,,,,,,,,
Punjab,20,2021-22,Revised Estimates,1490,4520,3.3,96.5,3.5,,,,,,,,,,,,
Punjab,20,2022-23,Budget Estimates,1693,5171,3.3,89.5,10.5,,,,,,,,,,,,
Rajasthan,21,2016-17,Actuals,1107,8253,5.9,93.8,6.2,,,,,,,,,,,,
Rajasthan,21,2017-18,Budget Estimates,1290,9751,5.8,86.4,13.6,,,,,,,,,,,,
Rajasthan,21,2017-18,Revised Estimates,1429,10801,6.2,91.6,8.4,,,,,,,,,,,,
Rajasthan,21,2017-18,Actuals,1323,10000,6.1,93.4,6.6,,,,,,,,,,,,
Rajasthan,21,2018-19,Budget Estimates,1673,12813,6.5,92.4,7.6,,,,,,,,,,,,
Rajasthan,21,2018-19,Revised Estimates,1588,12163,6.2,95.2,4.8,,,,,,,,,,,,
Rajasthan,21,2018-19,Actuals,1549,11862,6.3,95.8,4.2,,,,,,,,,,,,
Rajasthan,21,2019-20,Budget Estimates,1680,13039,6.0,93.9,6.1,,,,,,,,,,,,
Rajasthan,21,2019-20,Revised Estimates,1745,13541,6.4,95.2,4.8,,,,,,,,,,,,
Rajasthan,21,2019-20,Actuals,1565,12145,6.1,96.0,4.0,,,,,,,,,,,,
Rajasthan,21,2020-21,Budget Estimates,1870,14700,6.5,90.5,9.5,,,,,,,,,,,,
Rajasthan,21,2020-21,Revised Estimates,1704,13394,5.4,94.4,5.6,,,,,,,,,,,,
Rajasthan,21,2020-21,Actuals,1605,12620,5.4,95.0,5.0,,,,,,,,,,,,
Rajasthan,21,2021-22,Budget Estimates,2045,16269,6.5,88.9,11.1,,,,,,,,,,,,
Rajasthan,21,2021-22,Revised Estimates,2146,17078,5.4,87.7,12.3,,,,,,,,,,,,
Rajasthan,21,2022-23,Budget Estimates,2509,20111,5.8,84.4,15.6,,,,,,,,,,,,
Sikkim,22,2016-17,Actuals,4390,284,5.9,25.7,74.3,,,,,,,,,,,,
Sikkim,22,2017-18,Budget Estimates,5583,364,5.9,35.4,64.6,,,,,,,,,,,,
Sikkim,22,2017-18,Revised Estimates,7515,490,6.8,47.7,52.3,,,,,,,,,,,,
Sikkim,22,2017-18,Actuals,7111,464,7.7,51.7,48.3,,,,,,,,,,,,
Sikkim,22,2018-19,Budget Estimates,4731,312,4.4,85.2,14.8,,,,,,,,,,,,
Sikkim,22,2018-19,Revised Estimates,7061,465,5.8,76.2,23.8,,,,,,,,,,,,
Sikkim,22,2018-19,Actuals,6423,423,6.1,75.3,24.7,,,,,,,,,,,,
Sikkim,22,2019-20,Budget Estimates,6326,421,4.9,91.8,8.2,,,,,,,,,,,,
Sikkim,22,2019-20,Revised Estimates,7213,480,5.5,88.3,11.7,,,,,,,,,,,,
Sikkim,22,2019-20,Actuals,6505,433,5.9,89.8,10.2,,,,,,,,,,,,
Sikkim,22,2020-21,Budget Estimates,8247,554,6.1,91.3,8.7,,,,,,,,,,,,
Sikkim,22,2020-21,Revised Estimates,10804,726,8.0,70.7,29.3,,,,,,,,,,,,
Sikkim,22,2020-21,Actuals,9511,639,8.0,71.9,28.1,,,,,,,,,,,,
Sikkim,22,2021-22,Budget Estimates,9016,611,6.4,90.7,9.3,,,,,,,,,,,,
Sikkim,22,2021-22,Revised Estimates,9512,645,6.4,91.5,8.5,,,,,,,,,,,,
Sikkim,22,2022-23,Budget Estimates,9285,634,6.3,95.6,4.4,,,,,,,,,,,,
Tamil Nadu,23,2016-17,Actuals,1173,8771,4.2,98.8,1.2,,,,,,,,,,,,
Tamil Nadu,23,2017-18,Budget Estimates,1401,10521,4.8,99.5,0.5,,,,,,,,,,,,
Tamil Nadu,23,2017-18,Revised Estimates,1488,11175,5.2,99.0,1.0,,,,,,,,,,,,
Tamil Nadu,23,2017-18,Actuals,1462,10982,5.4,98.8,1.2,,,,,,,,,,,,
Tamil Nadu,23,2018-19,Budget Estimates,1576,11896,4.9,97.4,2.6,,,,,,,,,,,,
Tamil Nadu,23,2018-19,Revised Estimates,1731,13059,5.3,97.9,2.1,,,,,,,,,,,,
Tamil Nadu,23,2018-19,Actuals,1734,13086,5.4,97.9,2.1,,,,,,,,,,,,
Tamil Nadu,23,2019-20,Budget Estimates,1728,13100,5.0,94.9,5.1,,,,,,,,,,,,
Tamil Nadu,23,2019-20,Revised Estimates,1796,13614,5.0,96.2,3.8,,,,,,,,,,,,
Tamil Nadu,23,2019-20,Actuals,1714,12996,5.0,96.8,3.2,,,,,,,,,,,,
Tamil Nadu,23,2020-21,Budget Estimates,2162,16464,5.5,88.4,11.6,,,,,,,,,,,,
Tamil Nadu,23,2020-21,Revised Estimates,2501,19047,6.2,86.5,13.5,,,,,,,,,,,,
Tamil Nadu,23,2020-21,Actuals,2369,18044,6.2,98.7,1.3,,,,,,,,,,,,
Tamil Nadu,23,2021-22,Budget Estimates,2554,19532,5.9,99.5,0.5,,,,,,,,,,,,
Tamil Nadu,23,2021-22,Revised Estimates,2746,21002,6.6,98.7,1.3,,,,,,,,,,,,
Tamil Nadu,23,2022-23,Budget Estimates,2420,18540,5.1,99.7,0.3,,,,,,,,,,,,
Telangana,24,2016-17,Actuals,1427,5211,3.9,83.1,16.9,,,,,,,,,,,,
Telangana,24,2017-18,Budget Estimates,1684,6192,4.1,87.4,12.6,,,,,,,,,,,,
Telangana,24,2017-18,Revised Estimates,1643,6042,4.2,87.9,12.1,,,,,,,,,,,,
Telangana,24,2017-18,Actuals,1346,4949,3.5,89.1,10.9,,,,,,,,,,,,
Telangana,24,2018-19,Budget Estimates,2052,7600,4.4,78.7,21.3,,,,,,,,,,,,
Telangana,24,2018-19,Revised Estimates,1885,6982,4.3,79.5,20.5,,,,,,,,,,,,
Telangana,24,2018-19,Actuals,1519,5625,3.6,80.7,19.3,,,,,,,,,,,,
Telangana,24,2019-20,Budget Estimates,1452,5412,3.7,84.4,15.6,,,,,,,,,,,,
Telangana,24,2019-20,Revised Estimates,1452,5412,3.8,84.5,15.5,,,,,,,,,,,,
Telangana,24,2019-20,Actuals,1726,6434,3.6,85.2,14.8,,,,,,,,,,,,
Telangana,24,2020-21,Budget Estimates,1578,5923,3.2,87.0,13.0,,,,,,,,,,,,
Telangana,24,2020-21,Revised Estimates,1578,5922,3.6,87.0,13.0,,,,,,,,,,,,
Telangana,24,2020-21,Actuals,1655,6212,3.9,90.0,10.0,,,,,,,,,,,,
Telangana,24,2021-22,Budget Estimates,1619,6114,2.7,87.3,12.7,,,,,,,,,,,,
Telangana,24,2021-22,Revised Estimates,1619,6114,2.9,87.3,12.7,,,,,,,,,,,,
Telangana,24,2022-23,Budget Estimates,2913,11040,4.3,67.0,33.0,,,,,,,,,,,,
Tripura,25,2016-17,Actuals,1847,717,5.7,77.3,22.7,,,,,,,,,,,,
Tripura,25,2017-18,Budget Estimates,1971,773,4.8,87.0,13.0,,,,,,,,,,,,
Tripura,25,2017-18,Revised Estimates,2508,984,6.9,73.1,26.9,,,,,,,,,,,,
Tripura,25,2017-18,Actuals,2074,814,6.5,81.0,19.0,,,,,,,,,,,,
Tripura,25,2018-19,Budget Estimates,2526,1001,6.1,84.6,15.4,,,,,,,,,,,,
Tripura,25,2018-19,Revised Estimates,2664,1056,6.4,82.1,17.9,,,,,,,,,,,,
Tripura,25,2018-19,Actuals,2415,957,6.9,84.6,15.4,,,,,,,,,,,,
Tripura,25,2019-20,Budget Estimates,2410,964,5.5,90.6,9.4,,,,,,,,,,,,
Tripura,25,2019-20,Revised Estimates,2441,977,5.4,92.6,7.4,,,,,,,,,,,,
Tripura,25,2019-20,Actuals,2283,914,6.0,94.4,5.6,,,,,,,,,,,,
Tripura,25,2020-21,Budget Estimates,2527,1021,5.1,91.9,8.1,,,,,,,,,,,,
Tripura,25,2020-21,Revised Estimates,2615,1057,5.5,94.8,5.2,,,,,,,,,,,,
Tripura,25,2020-21,Actuals,2254,911,5.7,97.2,2.8,,,,,,,,,,,,
Tripura,25,2021-22,Budget Estimates,3027,1235,5.4,93.3,6.7,,,,,,,,,,,,
Tripura,25,2021-22,Revised Estimates,3578,1460,6.2,88.9,11.1,,,,,,,,,,,,
Tripura,25,2022-23,Budget Estimates,3774,1551,5.8,76.8,23.2,,,,,,,,,,,,
Uttar Pradesh,26,2016-17,Actuals,725,15659,4.7,81.3,18.7,,,,,,,,,,,,
Uttar Pradesh,26,2017-18,Budget Estimates,853,18691,4.9,87.5,12.5,,,,,,,,,,,,
Uttar Pradesh,26,2017-18,Revised Estimates,837,18339,5.0,86.8,13.2,,,,,,,,,,,,
Uttar Pradesh,26,2017-18,Actuals,766,16771,5.2,87.4,12.6,,,,,,,,,,,,
Uttar Pradesh,26,2018-19,Budget Estimates,984,21847,5.1,87.4,12.6,,,,,,,,,,,,
Uttar Pradesh,26,2018-19,Revised Estimates,942,20918,4.7,86.6,13.4,,,,,,,,,,,,
Uttar Pradesh,26,2018-19,Actuals,811,17997,4.6,87.4,12.6,,,,,,,,,,,,
Uttar Pradesh,26,2019-20,Budget Estimates,1104,24834,5.2,86.6,13.4,,,,,,,,,,,,
Uttar Pradesh,26,2019-20,Revised Estimates,1039,23358,5.2,85.1,14.9,,,,,,,,,,,,
Uttar Pradesh,26,2019-20,Actuals,890,20026,5.2,88.0,12.0,,,,,,,,,,,,
Uttar Pradesh,26,2020-21,Budget Estimates,1194,27202,5.3,85.7,14.3,,,,,,,,,,,,
Uttar Pradesh,26,2020-21,Revised Estimates,930,21199,5.1,85.1,14.9,,,,,,,,,,,,
Uttar Pradesh,26,2020-21,Actuals,947,21586,5.7,90.2,9.8,,,,,,,,,,,,
Uttar Pradesh,26,2021-22,Budget Estimates,1432,33063,6.0,74.8,25.2,,,,,,,,,,,,
Uttar Pradesh,26,2021-22,Revised Estimates,1170,27014,5.6,74.5,25.5,,,,,,,,,,,,
Uttar Pradesh,26,2022-23,Budget Estimates,1776,41428,6.7,80.8,19.2,,,,,,,,,,,,
Uttarakhand,27,2016-17,Actuals,1395,1506,4.2,92.3,7.7,,,,,,,,,,,,
Uttarakhand,27,2017-18,Budget Estimates,1840,2010,5.0,93.5,6.5,,,,,,,,,,,,
Uttarakhand,27,2017-18,Revised Estimates,1550,1694,4.5,94.2,5.8,,,,,,,,,,,,
Uttarakhand,27,2017-18,Actuals,1482,1619,3.8,96.1,3.9,,,,,,,,,,,,
Uttarakhand,27,2018-19,Budget Estimates,2247,2484,5.4,92.6,7.4,,,,,,,,,,,,
Uttarakhand,27,2018-19,Revised Estimates,1993,2204,5.1,93.1,6.9,,,,,,,,,,,,
Uttarakhand,27,2018-19,Actuals,1896,2096,4.3,91.1,8.9,,,,,,,,,,,,
Uttarakhand,27,2019-20,Budget Estimates,2363,2643,5.4,93.3,6.7,,,,,,,,,,,,
Uttarakhand,27,2019-20,Revised Estimates,1861,2082,4.6,92.3,7.7,,,,,,,,,,,,
Uttarakhand,27,2019-20,Actuals,1878,2101,4.4,95.4,4.6,,,,,,,,,,,,
Uttarakhand,27,2020-21,Budget Estimates,2369,2680,5.0,92.3,7.7,,,,,,,,,,,,
Uttarakhand,27,2020-21,Revised Estimates,2102,2379,4.6,91.5,8.5,,,,,,,,,,,,
Uttarakhand,27,2020-21,Actuals,2200,2489,4.8,93.1,6.9,,,,,,,,,,,,
Uttarakhand,27,2021-22,Budget Estimates,3006,3439,6.0,87.0,13.0,,,,,,,,,,,,
Uttarakhand,27,2021-22,Revised Estimates,2625,3003,5.7,89.6,10.4,,,,,,,,,,,,
Uttarakhand,27,2022-23,Budget Estimates,3821,4416,6.7,91.2,8.8,,,,,,,,,,,,
West Bengal,28,2016-17,Actuals,869,8282,5.3,85.0,15.0,,,,,,,,,,,,
West Bengal,28,2017-18,Budget Estimates,813,7794,4.3,87.4,12.6,,,,,,,,,,,,
West Bengal,28,2017-18,Revised Estimates,922,8844,4.8,87.1,12.9,,,,,,,,,,,,
West Bengal,28,2017-18,Actuals,937,8986,5.0,89.6,10.4,,,,,,,,,,,,
West Bengal,28,2018-19,Budget Estimates,932,8995,4.6,87.3,12.7,,,,,,,,,,,,
West Bengal,28,2018-19,Revised Estimates,981,9465,4.6,87.5,12.5,,,,,,,,,,,,
West Bengal,28,2018-19,Actuals,1014,9783,4.8,87.3,12.7,,,,,,,,,,,,
West Bengal,28,2019-20,Budget Estimates,1008,9785,4.5,88.5,11.5,,,,,,,,,,,,
West Bengal,28,2019-20,Revised Estimates,1106,10743,4.8,88.7,11.3,,,,,,,,,,,,
West Bengal,28,2019-20,Actuals,1156,11223,5.5,91.7,8.3,,,,,,,,,,,,
West Bengal,28,2020-21,Budget Estimates,1162,11351,4.9,87.1,12.9,,,,,,,,,,,,
West Bengal,28,2020-21,Revised Estimates,1330,12999,6.0,92.8,7.2,,,,,,,,,,,,
West Bengal,28,2020-21,Actuals,1321,12905,6.1,92.9,7.1,,,,,,,,,,,,
West Bengal,28,2021-22,Budget Estimates,1692,16634,6.0,90.3,9.7,,,,,,,,,,,,
West Bengal,28,2021-22,Revised Estimates,1658,16297,6.2,92.9,7.1,,,,,,,,,,,,
West Bengal,28,2022-23,Budget Estimates,1811,17854,6.1,87.2,12.8,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
