State_UT,State_UT_Code,Fiscal Year,Estimate,Per Capita Expenditure on Health Sector ,Total Health Sector Expenditure,Total Health Sector Expenditure as % of State Budget,Revenue Expenditure as % of Total Health Sector Expenditure,Capital Expenditure (including Loans & Advances ) as % of Total Health Sector Expenditure,,,,,,,,,,,,
Bihar,4,2020-21,Actuals,751,9156,5.5,92.9,7.1,,,,,,,,,,,,
Bihar,4,2021-22,Budget Estimates,1072,13265,6.1,81.6,18.4,,,,,,,,,,,,
Bihar,4,2021-22,Revised Estimates,1435,17753,6.9,82.2,17.8,,,,,,,,,,,,
Bihar,4,2022-23,Budget Estimates,1292,16134,6.8,89.1,10.9,,,,,,,,,,,,
Chhattisgarh,5,2016-17,Actuals,1241,3437,5.9,86.7,13.3,,,,,,,,,,,,
Chhattisgarh,5,2017-18,Budget Estimates,1631,4581,6.0,86.0,14.0,,,,,,,,,,,,
Chhattisgarh,5,2017-18,Revised Estimates,1692,4751,6.0,85.7,14.3,,,,,,,,,,,,
Chhattisgarh,5,2017-18,Actuals,1458,4094,6.1,88.4,11.6,,,,,,,,,,,,
Chhattisgarh,5,2018-19,Budget Estimates,1750,4983,6.0,86.3,13.7,,,,,,,,,,,,
Chhattisgarh,5,2018-19,Revised Estimates,1844,5248,5.6,88.1,11.9,,,,,,,,,,,,
Chhattisgarh,5,2018-19,Actuals,1332,3792,5.2,93.7,6.3,,,,,,,,,,,,
Chhattisgarh,5,2019-20,Budget Estimates,1746,5039,5.5,86.9,13.1,,,,,,,,,,,,
Chhattisgarh,5,2019-20,Revised Estimates,1910,5512,5.7,86.5,13.5,,,,,,,,,,,,
Chhattisgarh,5,2019-20,Actuals,1635,4717,5.7,91.8,8.2,,,,,,,,,,,,
Chhattisgarh,5,2020-21,Budget Estimates,1987,5808,6.1,88.9,11.1,,,,,,,,,,,,
Chhattisgarh,5,2020-21,Revised Estimates,2251,6583,7.2,89.1,10.9,,,,,,,,,,,,
Chhattisgarh,5,2020-21,Actuals,1961,5732,7.2,90.6,9.4,,,,,,,,,,,,
Chhattisgarh,5,2021-22,Budget Estimates,2026,5998,6.2,87.9,12.1,,,,,,,,,,,,
Chhattisgarh,5,2021-22,Revised Estimates,2601,7700,7.7,89.5,10.5,,,,,,,,,,,,
Chhattisgarh,5,2022-23,Budget Estimates,2202,6561,6.3,92.1,7.9,,,,,,,,,,,,
Delhi,33,2016-17,Actuals,2144,4031,10.8,90.6,9.4,,,,,,,,,,,,
Delhi,33,2017-18,Budget Estimates,26658,51136,106.5,98.7,1.3,,,,,,,,,,,,
Delhi,33,2017-18,Revised Estimates,2680,5141,11.6,92.3,7.7,,,,,,,,,,,,
Delhi,33,2017-18,Actuals,2468,4733,11.6,92.7,7.3,,,,,,,,,,,,
Delhi,33,2018-19,Budget Estimates,3440,6729,12.7,85.3,14.7,,,,,,,,,,,,
Delhi,33,2018-19,Revised Estimates,3051,5968,11.9,93.1,6.9,,,,,,,,,,,,
Delhi,33,2018-19,Actuals,2809,5495,11.9,94.4,5.6,,,,,,,,,,,,
Delhi,33,2019-20,Budget Estimates,3754,7485,12.5,86.3,13.7,,,,,,,,,,,,
Delhi,33,2019-20,Revised Estimates,3039,6060,11.1,92.4,7.6,,,,,,,,,,,,
